date,open,high,low,close,adj_close,volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD_LINE,MACD_SIGNAL,MACD_HIST,BB_UPPER,BB_MIDDLE,BB_LOWER,ATR_14,ADX_14
2021-07-01,633.9500122070312,637.4000244140625,630.0499877929688,630.8499755859375,610.1502685546875,10517081,,,,,,,,,,,,0.0,0.0
2021-07-02,632.25,641.3499755859375,632.25,640.25,619.2418212890625,10999396,,,,,,,,,,,,0.0,0.0
2021-07-05,642.75,648.5,641.2000122070312,647.8499755859375,626.5924682617188,7358568,,,,,,,,,,,,0.0,0.0
2021-07-06,645.2000122070312,655.0,645.2000122070312,650.2999877929688,628.9620361328125,9209891,,,,,,,,,,,,0.0,0.0
2021-07-07,650.9000244140625,654.75,645.9000244140625,654.0,632.5406494140625,7741559,,,,,,,,,,,,0.0,0.0
2021-07-08,650.5,654.0,638.0999755859375,641.9000244140625,620.8377685546875,10782941,,,,,,,,,,,,0.0,0.0
2021-07-09,639.5,641.1500244140625,633.7999877929688,638.5499877929688,617.59765625,7069698,,,,,,,,,,,,0.0,0.0
2021-07-12,646.0,650.25,642.4000244140625,646.25,625.0450439453125,6992783,,,,,,,,,,,,0.0,0.0
2021-07-13,655.1500244140625,666.3499755859375,653.0,664.9500122070312,643.1314086914062,19825411,,,,,,,,,,,,0.0,0.0
2021-07-14,662.0,668.0,658.2000122070312,664.3499755859375,642.551025390625,11648541,,,,,,,,,,,,0.0,0.0
2021-07-15,665.0999755859375,669.5999755859375,661.0999755859375,667.4500122070312,645.5493774414062,8244429,,,,,,,,,,,,0.0,0.0
2021-07-16,667.4500122070312,667.75,657.7000122070312,660.2999877929688,638.6339721679688,9212875,,,,,,,,,,,,0.0,0.0
2021-07-19,645.6500244140625,656.9000244140625,645.5499877929688,655.9000244140625,634.3782958984375,9121737,,,,,,,,,,,,0.0,0.0
2021-07-20,648.6500244140625,651.25,639.0999755859375,641.9000244140625,620.8377685546875,13169127,,,,,47.845168059511714,,,,,,,11.460719517299108,0.0
2021-07-22,652.5,660.2999877929688,648.2999877929688,655.9500122070312,634.4268188476562,13123569,,,,,57.81778290601604,,,,,,,11.956379793128189,0.0
2021-07-23,655.9500122070312,677.8499755859375,650.75,676.6500244140625,654.4474487304688,19298083,,,,,67.63640581478157,,,,,,,13.038065206900283,0.0
2021-07-26,680.0,687.75,663.5999755859375,676.75,654.544189453125,31054759,,,,,67.6755403780692,,,,,,,13.831776578840442,0.0
2021-07-27,680.1500244140625,685.5999755859375,673.2999877929688,677.4500122070312,655.22119140625,12598869,,,,,67.96761202505255,,,,,,,13.722363094135321,0.0
2021-07-28,677.9000244140625,687.0,670.0499877929688,685.0499877929688,662.57177734375,18367497,,,,,71.02832750802399,,,,,,,13.952909459342175,0.0
2021-07-29,692.5,692.5,683.0999755859375,687.5,666.8884887695312,11043138,658.2075012207031,,661.0560482638699,,71.95852514252688,,,,690.2571279998972,658.2075012207031,626.157874441509,13.627703384679341,0.0
2021-07-30,687.0,687.6500244140625,678.0,682.5,662.038330078125,14536250,660.7900024414063,,663.0983293815966,,67.2154784759762,,,,691.9161905164494,660.7900024414063,629.6638143663631,13.343583458206709,0.0
2021-08-02,684.0499877929688,688.0499877929688,677.7000122070312,681.4000244140625,660.9713134765625,9348206,662.8475036621094,,664.8413479561171,,66.18197347493764,,,,693.7098204914445,662.8475036621094,631.9851868327743,13.129754324473193,0.0
2021-08-03,683.0,691.9000244140625,676.6500244140625,690.4000244140625,669.7015380859375,10162609,664.9750061035156,,667.2755076187786,,70.21707758822284,,,,697.2429568255518,664.9750061035156,632.7070553814794,13.28120044415368,0.0
2021-08-04,694.0,717.4000244140625,693.2000122070312,714.6500244140625,693.2244873046875,28730606,668.1925079345704,,671.7873663611866,,77.87673862989935,,,,706.2748086530937,668.1925079345704,630.110207216047,14.261114698142702,0.0
2021-08-05,715.5,716.5,699.0499877929688,702.4500122070312,681.3902587890625,17774554,670.6150085449219,,674.7076183465052,,68.35250803667519,,,,710.8793532519751,670.6150085449219,630.3506638378688,14.48889309163474,0.0
2021-08-06,705.0499877929688,706.0,695.7000122070312,697.6500244140625,676.7341918945312,14701949,673.4025085449218,,676.8926094005583,,64.98506502335022,15.218566045875377,,,713.0434619084604,673.4025085449218,633.7615551813833,14.189685570301455,0.0
2021-08-09,697.4000244140625,706.2999877929688,694.3499755859375,702.8499755859375,681.7781982421875,8602980,676.6175079345703,,679.3647395134516,,66.88821166774335,15.39045486634086,,,714.8346679774326,676.6175079345703,638.4003478917081,14.02970890149644,0.0
2021-08-10,704.0999755859375,708.2999877929688,697.2999877929688,700.9000244140625,679.8867797851562,10843554,679.3500091552735,,681.4157190277954,,65.45157099126916,15.19418413514461,,,716.2847635708818,679.3500091552735,642.4152547396652,13.813301122818121,41.064227929534276
2021-08-11,706.25,707.1500244140625,690.0,693.5499877929688,672.757080078125,9748084,680.7800079345703,,682.5713636720976,,60.20271006840728,14.280929967024576,,,717.5883275640571,680.7800079345703,643.9716883050836,14.051638500764147,40.516939646031275
2021-08-12,693.5,702.9500122070312,693.2999877929688,701.3499755859375,680.3231811523438,8840339,682.6300079345704,,684.3598029019872,,63.54392210635932,14.024893049936281,,,719.667798300448,682.6300079345704,645.5922175686927,13.737237494571172,40.00874338277849
2021-08-13,707.0499877929688,709.9000244140625,701.0,704.7999877929688,683.6697387695312,12787590,684.4975067138672,,686.3064871773188,,64.94577455923925,13.939681133690783,,,722.0483103770478,684.4975067138672,646.9467030506867,13.391722274534839,39.95849136315079
2021-08-16,702.4000244140625,707.4000244140625,698.6500244140625,702.6500244140625,681.5842895507812,7920846,686.6150085449219,,687.8630145331991,,63.31192159051948,13.54255584562361,,,723.2336703871902,686.6150085449219,649.9963467026537,13.060170683496636,39.60071401700085
2021-08-17,699.7999877929688,702.9000244140625,691.5,701.2000122070312,680.177734375,8669653,688.8800079345704,,689.1332047878498,,62.175841312563165,12.961416189219335,,,723.1476008250977,688.8800079345704,654.612415044043,12.941588807108484,38.37272533632897
